Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
lardaloru,Adjetivo,dicho del jueves de carnaval,Español,,OK
largu,Adjetivo,"ancho, amplio",Español,,OK
lascu,Adjetivo,"ralo, escaso",Español,,OK
lassatu,Adjetivo,dejado,Español,,OK
lastimusu,Adjetivo,aburrido,Español,,OK
latinu,Adjetivo,perfecto / idioma latín,Español,,OK
leggiu,Adjetivo,ligero,Español,,OK
lentu,Adjetivo,lento,Español,,OK
lestu,Adjetivo,rápido,Español,,OK
lesu,Adjetivo,lesionado,Español,,OK
lianu,Adjetivo,"usado, hilacha",Español,,OK
libbirali,Adjetivo,liberal,Español,,OK
libbirtinu,Adjetivo,libertino,Español,,OK
libbrinu,Adjetivo,leporino (labio),Español,,OK
libirali,Adjetivo,liberal,Español,,OK
libirtinu,Adjetivo,libertino,Español,,OK
liccu,Adjetivo,goloso,Español,,OK
lienu,Adjetivo,"usado, hilacha",Español,,OK
liggeru,Adjetivo,ligero,Español,,OK
liggìtimu,Adjetivo,legítimo,Español,,OK
liggìttimu,Adjetivo,legítimo,Español,,OK
ligìtimu,Adjetivo,legítimo,Español,,OK
ligìttimu,Adjetivo,legítimo,Español,,OK
limarrusu,Adjetivo,"fangoso, limoso, con lodo",Español,,OK
limpiu,Adjetivo,limpio,Español,,OK
lingua siciliana,Adjetivo,"idioma siciliano, lengua siciliana",Español,,OK
lingutu,Adjetivo,que habla mucho,Español,,OK
linnu,Adjetivo,"limpio, ordenado, lindo",Español,,OK
lintu,Adjetivo,"limpio, ordenado, lindo",Español,,OK
lippusu,Adjetivo,viscoso,Español,,OK
lisci lisci,Adjetivo,suavemente,Español,,OK
lisciu,Adjetivo,liso,Español,,OK
lisu,Adjetivo,ácimo,Español,,OK
locali,Adjetivo,local,Español,,OK
lonchi,Adjetivo,largos,Español,,OK
loncu,Adjetivo,largo,Español,,OK
longhi,Adjetivo,largos,Español,,OK
longu,Adjetivo,largo,Español,,OK
lorda,Adjetivo,sucia / mujer sucia,Español,,OK
lordi,Adjetivo,sucios / sucias,Español,,OK
lordu,Adjetivo,sucio / hombre sucio,Español,,OK
lucali,Adjetivo,local,Español,,OK
lumbardu,Adjetivo,lombardo / idioma lombardo / lombardo,Español,,OK
lummardu,Adjetivo,lombardo / idioma lombardo / lombardo,Español,,OK
luntanu,Adjetivo,lejos / lejos,Español,,OK
luordu,Adjetivo,sucio / hombre sucio,Español,,OK
lurdu,Adjetivo,sucio / hombre sucio,Español,,OK
luriusu,Adjetivo,glorioso,Español,,OK
lutusu,Adjetivo,lodoso,Español,,OK
làdiu,Adjetivo,feo,Español,,OK
làidu,Adjetivo,feo,Español,,OK
làiu,Adjetivo,feo,Español,,OK
làpparu,Adjetivo,sin consistencia,Español,,OK
làricu,Adjetivo,"ancho, amplio",Español,,OK
làrigu,Adjetivo,"ancho, amplio",Español,,OK
làriu,Adjetivo,feo,Español,,OK
lìbbiru,Adjetivo,libre,Español,,OK
lìbburu,Adjetivo,libre,Español,,OK
lìbiru,Adjetivo,libre,Español,,OK
lìburu,Adjetivo,libre,Español,,OK
lìquidu,Adjetivo,líquido,Español,,OK
lìquitu,Adjetivo,líquido,Español,,OK
lìvaru,Adjetivo,libre,Español,,OK
lùcidu,Adjetivo,lúcido,Español,,OK
maggiuri,Adjetivo,mayor,Español,,OK
magnu,Adjetivo,"magno, grande",Español,,OK
magnusu,Adjetivo,"pomposo, aparatoso, rumboso",Español,,OK
magnìficu,Adjetivo,magnífico,Español,,OK
magru,Adjetivo,magro / delgado,Español,,OK
maialisca,Adjetivo,cerdesca,Español,,OK
maialiscu,Adjetivo,cerdesco,Español,,OK
maistusu,Adjetivo,majestuoso,Español,,OK
maiuri,Adjetivo,mayor,Español,,OK
maiàtica,Adjetivo,que madura en mayo (dicho de una cereza),Español,,OK
majalisca,Adjetivo,cerdesca,Español,,OK
majaliscu,Adjetivo,cerdesco,Español,,OK
majuri,Adjetivo,mayor,Español,,OK
majàtica,Adjetivo,que madura en mayo (dicho de una cereza),Español,,OK
mala cunnutta,Adjetivo,"delincuente, malo",Español,,OK
malaccriatu,Adjetivo,"malcriado, maleducado",Español,,OK
malacriatu,Adjetivo,"malcriado, maleducado",Español,,OK
malacunnutta,Adjetivo,"delincuente, malo",Español,,OK
maladucatu,Adjetivo,malcriado,Español,,OK
malatu,Adjetivo,enfermo,Español,,OK
malcriatu,Adjetivo,"malcriado, maleducado",Español,,OK
maldittu,Adjetivo,maldito,Español,,OK
maleducatu,Adjetivo,malcriado,Español,,OK
maliabblatu,Adjetivo,malacquisto,Italiano,,OK
malidittu,Adjetivo,maldito,Español,,OK
malignu,Adjetivo,"malicioso, travieso",Español,,OK
malirittu,Adjetivo,maldito,Español,,OK
mallittu,Adjetivo,maldito,Español,,OK
malortu,Adjetivo,"malfatto, deforme",Italiano,,OK
malsicuru,Adjetivo,"poco seguro, inseguro",Español,,OK
malu,Adjetivo,malo,Español,,OK
malucriatu,Adjetivo,"malcriado, maleducado",Español,,OK
malufinu,Adjetivo,"grazioso, graziosino",Italiano,,OK
maluparatu,Adjetivo,"1. messo in brutte acque, messo in condizioni sfavorevoli, messo in condizione di inferiorità, 2. approntato malamente, mal equipaggiato",Italiano,,OK
maluvivu,Adjetivo,"che è più morto che vivo, che vive, ma con difficoltà",Italiano,,OK
malvaggiu,Adjetivo,"malvado, malo",Español,,OK
malvagiu,Adjetivo,"malvado, malo",Español,,OK
malèvulu,Adjetivo,malévolo,Español,,OK
mammulinu,Adjetivo,dicho del niño que no quiere dejar a su madre,Español,,OK
mancarusu,Adjetivo,"zocato, zurdo",Español,,OK
mancusu,Adjetivo,"zocato, zurdo",Español,,OK
mandruni,Adjetivo,pigro / poltrone,Italiano,,OK
manfrusu,Adjetivo,"goffo, strano, barocco",Italiano,,OK
maniscu,Adjetivo,manejable,Español,,OK
mansu,Adjetivo,manso,Español,,OK
manzu,Adjetivo,manso,Español,,OK
manìvuli,Adjetivo,manejable,Español,,OK
maravigghiusu,Adjetivo,maravilloso,Español,,OK
marciu,Adjetivo,podrido,Español,,OK
mardittu,Adjetivo,maldito,Español,,OK
marfusu,Adjetivo,"scaltrito, sagace",Italiano,,OK
marianu,Adjetivo,mediano,Español,,OK
maricagnusu,Adjetivo,pantanoso,Español,,OK
marini,Adjetivo,"marinos (masculinu), marinas (fimmininu)",Español,,OK
marinu,Adjetivo,marino,Español,,OK
mariusu,Adjetivo,"misero, compassionevole",Italiano,,OK
marmànicu,Adjetivo,"strano, bizzarro, pazzo, stravagante, insensato, che ha alquanto di smania, maniaco",Italiano,,OK
marranchinu,Adjetivo,"zoppo, tristo / ladro",Italiano,,OK
marranu,Adjetivo,zoppo,Italiano,,OK
marruni,Adjetivo,marrón,Español,,OK
marticanu,Adjetivo,che ha un solo occhio,Italiano,,OK
marvaggiu,Adjetivo,"malvado, malo",Español,,OK
marvagiu,Adjetivo,"malvado, malo",Español,,OK
mascaratu,Adjetivo,"descarado, desvergonzado, atrevido",Español,,OK
maschili,Adjetivo,masculino,Español,,OK
masticusu,Adjetivo,pieno di mutria,Italiano,,OK
matrimoniali,Adjetivo,matrimonial,Español,,OK
matrimuniali,Adjetivo,matrimonial,Español,,OK
mattiolu,Adjetivo,"un poco loco, loquito, desconsiderado, que actúa sin pensar",Español,,OK
mattu,Adjetivo,loco /  / hombre loco,Español,,OK
maturu,Adjetivo,maduro,Español,,OK
matutina,Adjetivo,"matinal, matutina",Español,,OK
matutinu,Adjetivo,"matinal, matutino",Español,,OK
matèlacu,Adjetivo,"fantasioso, si dice di colui che guarda troppo nel sottile, cose da non farsene conto",Italiano,,OK
mbriachedda,Adjetivo,madroño,Español,,OK
mbriacu,Adjetivo,"ebrio, embriagado / borrachín",Español,,OK
mbuccatu,Adjetivo,si dice delle biade guaste dalla volpe,Italiano,,OK
mbuscu,Adjetivo,irritado,Español,,OK
me,Adjetivo,"mi, mis / mío, mía, míos, mías",Español,,OK
me',Adjetivo,"mi, mis / mío, mía, míos, mías",Español,,OK
meccànicu,Adjetivo,mecánico,Español,,OK
medianu,Adjetivo,mediano,Español,,OK
menzu,Adjetivo,medio (substantivo) / medio (adjetivo) / por la mitad,Español,,OK
meu,Adjetivo,mi / mío,Español,,OK
mezzu,Adjetivo,medio (substantivo) / medio (adjetivo) / por la mitad,Español,,OK
mia,Adjetivo,"mía (pronombre femenino) / mi (adjetivo femenino) / mío, míos, mías / mi (adjetivo masculino), mis (adjetivo masculino y femenino)",Español,,OK
micciusu,Adjetivo,"chisposo, chispeante",Español,,OK
miciu,Adjetivo,"que tiene la vista corta, que ve mal / gato",Español,,OK
midianu,Adjetivo,mediano,Español,,OK
mimèticu,Adjetivo,"mimético, que imita",Español,,OK
minuri,Adjetivo,menor,Español,,OK
minzanu,Adjetivo,mediano / intermediario,Español,,OK
miravigghiusu,Adjetivo,maravilloso,Español,,OK
mirdiscu,Adjetivo,sodómico (relativo a los sodomitas o a la sodomía),Español,,OK
miridiunali,Adjetivo,meridional,Español,,OK
mirlinu,Adjetivo,bianco (detto del manto del cavallo),Italiano,,OK
mirrinu,Adjetivo,bianco (detto del manto del cavallo),Italiano,,OK
mischinu,Adjetivo,"pobre (pobrecito) / pobre diablo, pobrecito",Español,,OK
misizzu,Adjetivo,"puesto, colocado",Español,,OK
miu,Adjetivo,mi / mío,Español,,OK
mizzanu,Adjetivo,mediano / intermediario,Español,,OK
mmasanutu,Adjetivo,"sbalordito, fuori di sé",Italiano,,OK
mmeri,Adjetivo,"hacia, cerca",Español,,OK
mmersu,Adjetivo,inverso,Español,,OK
mmeru,Adjetivo,"hacia, cerca",Español,,OK
mmisiatu,Adjetivo,maltrattato,Italiano,,OK
mmitteri,Adjetivo,"carezzevole, lezioso",Italiano,,OK
mmrignatu,Adjetivo,disordinato,Italiano,,OK
mmurtali,Adjetivo,inmortal,Español,,OK
modda,Adjetivo,"blanda, molle",Español,,OK
moddi,Adjetivo,"blandos, molles / blandas, molles",Español,,OK
moddu,Adjetivo,"blando, muelle",Español,,OK
modu,Adjetivo,"modo, manera",Español,,OK
monchiu,Adjetivo,"1. inetto, paralitico, 2. scansafatiche, 2. lento, flegmatico, dinoccolato",Italiano,,OK
morali,Adjetivo,moral / morales,Español,,OK
morfitu,Adjetivo,"velenoso, sonnifero",Italiano,,OK
mortu,Adjetivo,muerto,Español,,OK
mpirrantutu,Adjetivo,"deciso, coraggioso",Italiano,,OK
mprastusu,Adjetivo,"1. hecho mal, 2. emplastoso",Español,,OK
mprigulatu,Adjetivo,"hecho a ""pergola""",Español,,OK
mprisusu,Adjetivo,"testarudo, cabezota",Español,,OK
mputenti,Adjetivo,impotente,Español,,OK
mputiratu,Adjetivo,"potente, poderoso",Español,,OK
mpàmpanu,Adjetivo,riboccante,Italiano,,OK
muccarusu,Adjetivo,mocoso,Español,,OK
muda,Adjetivo,muda,Español,,OK
muddacchiu,Adjetivo,"blando, flojo, perezoso",Español,,OK
muddiusu,Adjetivo,noioso,Italiano,,OK
muderu,Adjetivo,que tiene buenas maneras,Español,,OK
mudi,Adjetivo,mudos / mudas,Español,,OK
mudu,Adjetivo,mudo,Español,,OK
mugnu,Adjetivo,manco,Español,,OK
muncu,Adjetivo,manco,Español,,OK
mungu,Adjetivo,manco,Español,,OK
muonchiu,Adjetivo,"1. inetto, paralitico, 2. scansafatiche, 2. lento, flegmatico, dinoccolato",Italiano,,OK
murali,Adjetivo,moral / morales,Español,,OK
murrinu,Adjetivo,bianco (detto del manto del cavallo),Italiano,,OK
murritusu,Adjetivo,que no se queda tranquilo,Español,,OK
murtacinu,Adjetivo,"sin energía, ""muerto""",Español,,OK
murvusu,Adjetivo,mocoso,Español,,OK
muscia,Adjetivo,"1. flaca, 2. molle, 3. blanda /",Español,,OK
musciu,Adjetivo,"1. flaco, 2. molle, 3. blando / gato",Español,,OK
muta,Adjetivo,muda,Español,,OK
muti,Adjetivo,mudos / mudas,Español,,OK
mutu,Adjetivo,mudo,Español,,OK
muzzu,Adjetivo,"cortado (truncado, mutilado)",Español,,OK
màggicu,Adjetivo,mágico,Español,,OK
màghiru,Adjetivo,magro,Español,,OK
màgicu,Adjetivo,mágico,Español,,OK
màiru,Adjetivo,magro,Español,,OK
màuru,Adjetivo,magro,Español,,OK
mè,Adjetivo,"mi, mis / mío, mía, míos, mías",Español,,OK
mònfrici,Adjetivo,morbido,Italiano,,OK
n sanu,Adjetivo,que no es dividido,Español,,OK
n'antra,Adjetivo,(una) otra,Español,,OK
n'antru,Adjetivo,(un) otro,Español,,OK
n'atra,Adjetivo,(una) otra,Español,,OK
n'atru,Adjetivo,(un) otro,Español,,OK
n'otra,Adjetivo,(una) otra,Español,,OK
n'otru,Adjetivo,(un) otro,Español,,OK
n'àutra,Adjetivo,(una) otra,Español,,OK
n'àutru,Adjetivo,(un) otro,Español,,OK
n'àvutra,Adjetivo,(una) otra,Español,,OK
n'àvutru,Adjetivo,(un) otro,Español,,OK
nanfarusu,Adjetivo,que habla con voz nasal,Español,,OK
nantistu,Adjetivo,"testardo, importuno, sfacciato",Italiano,,OK
nantri,Adjetivo,"nosotros, nosotras",Español,,OK
nascutu,Adjetivo,"chato, achatado",Español,,OK
nastenti,Adjetivo,"testardo, importuno, sfacciato",Italiano,,OK
natri,Adjetivo,"nosotros, nosotras",Español,,OK
natu,Adjetivo,nacido,Español,,OK
nausiusu,Adjetivo,nauseoso,Español,,OK
nazionali,Adjetivo,nacional,Español,,OK
naziunali,Adjetivo,nacional,Español,,OK
nazzionali,Adjetivo,nacional,Español,,OK
nazziunali,Adjetivo,nacional,Español,,OK
ncarnuffatu,Adjetivo,"carnoso, pieno di ciccia",Italiano,,OK
nchiaddarutu,Adjetivo,sporco,Italiano,,OK
nchiappatu,Adjetivo,"ensuciado, sucio",Español,,OK
nchiasimatu,Adjetivo,si dice delle piante attaccate dalla ruggine,Italiano,,OK
nciunnatu,Adjetivo,desordenado,Español,,OK
nclusu,Adjetivo,"incluído, incluso",Español,,OK
ncumitusu,Adjetivo,que incomoda,Español,,OK
ncumpletu,Adjetivo,incompleto,Español,,OK
ncumpretu,Adjetivo,incompleto,Español,,OK
ncuticchiatu,Adjetivo,"si dice di stoffa, asciutta e tesa, di grappolo, fitto di acini",Italiano,,OK
ncuticchiunatu,Adjetivo,"stoffa, asciutta e tesa, grappolo fitto di acini",Italiano,,OK
ncòmitu,Adjetivo,incomódo,Español,,OK
ncòmmudu,Adjetivo,incomódo,Español,,OK
ncòmutu,Adjetivo,incomódo,Español,,OK
ndebele miridiunali,Adjetivo,ndebele del Sur,Español,,OK
ndebele sittintriunali,Adjetivo,ndebele del Norte,Español,,OK
ndiffirenti,Adjetivo,indiferente,Español,,OK
ndulintatu,Adjetivo,dolorido,Español,,OK
negativu,Adjetivo,negativo,Español,,OK
nfallaci,Adjetivo,que induce al error,Español,,OK
nfariddatu,Adjetivo,insottanato,Italiano,,OK
nfiriuri,Adjetivo,inferior,Español,,OK
nfirniciatu,Adjetivo,que está preocupado por algo,Español,,OK
nfurniciatu,Adjetivo,que está preocupado por algo,Español,,OK
nfuscu,Adjetivo,oscuro,Español,,OK
nfutu,Adjetivo,"denso, espeso",Español,,OK
ngallunatu,Adjetivo,"detto di zolfo, mescolato a materie eterogenee",Italiano,,OK
nghirriusu,Adjetivo,"litigioso, camorrista, batallón, peleador, peleón",Español,,OK
ngnuranti,Adjetivo,ignorante / persona ignorante,Español,,OK
ngrannusu,Adjetivo,"fastuoso, suntuoso",Español,,OK
ngratu,Adjetivo,"ingrato, malagradecido, desagradecido",Español,,OK
ngrestu,Adjetivo,"acerbo, no maduro (dicho sobretodo para las frutas), agraz",Español,,OK
ngriddu,Adjetivo,detto di vivande che non hanno la giusta cottura,Italiano,,OK
ngrignutu,Adjetivo,"plegado, doblado",Español,,OK
ngrisi,Adjetivo,"inglés / inglés ''m'', inglesa ''f''",Español,,OK
ngustiusu,Adjetivo,angustiado,Español,,OK
niatri,Adjetivo,"nosotros, nosotras",Español,,OK
nichiusu,Adjetivo,"1. molesto, aburrido, irritante, fastidioso, 2. colérico",Español,,OK
nigativu,Adjetivo,negativo,Español,,OK
nigghiusu,Adjetivo,"neblinoso, nuboso, nublado",Español,,OK
nigliusu,Adjetivo,"neblinoso, nuboso, nublado",Español,,OK
nigru,Adjetivo,negro,Español,,OK
nimiu,Adjetivo,minuzioso,Italiano,,OK
nirbusu,Adjetivo,nervioso,Español,,OK
niru,Adjetivo,negro,Español,,OK
nirvusu,Adjetivo,nervioso,Español,,OK
nivulusu,Adjetivo,"nubloso, nublado",Español,,OK
nivusu,Adjetivo,"nevoso, nevado",Español,,OK
niàutri,Adjetivo,"nosotros, nosotras",Español,,OK
niàvutri,Adjetivo,"nosotros, nosotras",Español,,OK
nniffirenti,Adjetivo,indiferente,Español,,OK
nnuccenti,Adjetivo,inocent,Español,,OK
nnurmusu,Adjetivo,"fingido, simulado, artificioso",Español,,OK
nnìcili,Adjetivo,delicado,Español,,OK
nnìzzicu,Adjetivo,che sta nel mezzo,Italiano,,OK
nomu propiu,Adjetivo,nombre propio,Español,,OK
normali,Adjetivo,normal,Español,,OK
nostru,Adjetivo,nuestro / el nuestro,Español,,OK
nova,Adjetivo,nueva / noticia,Español,,OK
novu,Adjetivo,nuevo,Español,,OK
nsaiddatu,Adjetivo,che sta bene alla persona,Italiano,,OK
nsaimatu,Adjetivo,lleno de grasa,Español,,OK
nsainatu,Adjetivo,"del mismo color que el ""sorghum vulgare"" (dicho del pelaje de algunos animales)",Español,,OK
nsanu,Adjetivo,que no es dividido,Español,,OK
nsufficienti,Adjetivo,insuficiente,Español,,OK
nsuppurtàbbili,Adjetivo,insoportable,Español,,OK
nsuppurtàbili,Adjetivo,insoportable,Español,,OK
ntabarratu,Adjetivo,imbacuccato,Italiano,,OK
ntabbarratu,Adjetivo,imbacuccato,Italiano,,OK
ntabbiatu,Adjetivo,indurito,Italiano,,OK
ntampanatu,Adjetivo,"sciocco, istupidito",Italiano,,OK
ntampanu,Adjetivo,sciocco,Italiano,,OK
ntampasuni,Adjetivo,"sciocco, stupido",Italiano,,OK
ntapanatu,Adjetivo,pieno fino all'orlo (detto di vaso),Italiano,,OK
nternaziunali,Adjetivo,internacional,Español,,OK
nternazziunali,Adjetivo,internacional,Español,,OK
nternu,Adjetivo,interno,Español,,OK
ntilligenti,Adjetivo,inteligente,Español,,OK
ntilliggenti,Adjetivo,inteligente,Español,,OK
ntimpanatu,Adjetivo,pieno fino all'orlo (detto di vaso),Italiano,,OK
ntiniri,Adjetivo,"no muy cocido, no muy maduro",Español,,OK
ntipanatu,Adjetivo,pieno fino all'orlo (detto di vaso),Italiano,,OK
ntiriuri,Adjetivo,interior,Español,,OK
ntirnaziunali,Adjetivo,internacional,Español,,OK
ntirnazziunali,Adjetivo,internacional,Español,,OK
ntollu,Adjetivo,stupido (Sutera),Italiano,,OK
ntramiseri,Adjetivo,"lezioso, menzognero",Italiano,,OK
ntramiseru,Adjetivo,"lezioso, menzognero",Italiano,,OK
ntramisu,Adjetivo,"mascherato, travisato (Pasqualino)",Italiano,,OK
ntrummitatu,Adjetivo,"detto del cavallo, che porta la testa orizzontalmente",Italiano,,OK
ntrunatu,Adjetivo,aturdido,Español,,OK
ntròbbitu,Adjetivo,turbio,Español,,OK
ntròbitu,Adjetivo,turbio,Español,,OK
ntullu,Adjetivo,stupido,Italiano,,OK
ntìfichi,Adjetivo,idénticos / idénticas,Español,,OK
ntòllaru,Adjetivo,buono a nulla,Italiano,,OK
nuantri,Adjetivo,"nosotros, nosotras",Español,,OK
nuatri,Adjetivo,"nosotros, nosotras",Español,,OK
nudu,Adjetivo,desnudo,Español,,OK
nuiatri,Adjetivo,"nosotros, nosotras",Español,,OK
nuiàutri,Adjetivo,"nosotros, nosotras",Español,,OK
nuiàvutri,Adjetivo,"nosotros, nosotras",Español,,OK
nulitusu,Adjetivo,caprichoso,Español,,OK
nurmali,Adjetivo,normal,Español,,OK
nurmusu,Adjetivo,"fingido, simulado, artificioso",Español,,OK
nuru,Adjetivo,desnudo,Español,,OK
nuvulusu,Adjetivo,"nubloso, nublado",Español,,OK
nuàutri,Adjetivo,"nosotros, nosotras",Español,,OK
nuàvutri,Adjetivo,"nosotros, nosotras",Español,,OK
nvalanzatu,Adjetivo,"indeciso, vacilante",Español,,OK
nvarvalata,Adjetivo,arraigada (dicho para una planta),Español,,OK
nversu,Adjetivo,inverso,Español,,OK
nvàlidu,Adjetivo,minusválido,Español,,OK
nzaiddatu,Adjetivo,che sta bene alla persona,Italiano,,OK
nzaimatu,Adjetivo,lleno de grasa,Español,,OK
nzainatu,Adjetivo,"del mismo color que el ""sorghum vulgare"" (dicho del pelaje de algunos animales)",Español,,OK
nziraccatu,Adjetivo,mezzo chiuso,Italiano,,OK
nziringanti,Adjetivo,"si dice di voce, acuta e trillante",Italiano,,OK
nzufficienti,Adjetivo,insuficiente,Español,,OK
nzuppurtàbbili,Adjetivo,insoportable,Español,,OK
nzuppurtàbili,Adjetivo,insoportable,Español,,OK
nàutri,Adjetivo,"nosotros, nosotras",Español,,OK
nàvutri,Adjetivo,"nosotros, nosotras",Español,,OK
nìcaru,Adjetivo,pequeño,Español,,OK
nìcili,Adjetivo,delicado,Español,,OK
nìcilu,Adjetivo,delicado,Español,,OK
nìguru,Adjetivo,negro,Español,,OK
nìuru,Adjetivo,negro,Español,,OK
nìvuru,Adjetivo,negro,Español,,OK
nùtili,Adjetivo,inútil,Español,,OK
ofanu,Adjetivo,jactancioso,Español,,OK
officiali,Adjetivo,oficial,Español,,OK
officiu,Adjetivo,oficina (lugar),Español,,OK
ogni,Adjetivo,cada,Español,,OK
ominiscu,Adjetivo,"de hombre, de caballero",Español,,OK
onestu,Adjetivo,honesto,Español,,OK
onnìvuru,Adjetivo,omnívoro,Español,,OK
orali,Adjetivo,oral,Español,,OK
orbu,Adjetivo,"ciego / 1. ciego (persona ciega), 2. cantante ciego",Español,,OK
orgugghiusu,Adjetivo,orgulloso,Español,,OK
orgugliusu,Adjetivo,orgulloso,Español,,OK
orrennu,Adjetivo,horrible,Español,,OK
orrurusu,Adjetivo,"horroroso, horrible",Español,,OK
orrìbbili,Adjetivo,horrible,Español,,OK
orrìbbuli,Adjetivo,horrible,Español,,OK
orrìbili,Adjetivo,horrible,Español,,OK
orrìbuli,Adjetivo,horrible,Español,,OK
orvu,Adjetivo,"ciego / 1. ciego (persona ciega), 2. cantante ciego",Español,,OK
oteru,Adjetivo,"altanero, altivo",Español,,OK
otru,Adjetivo,otro,Español,,OK
otu,Adjetivo,alto,Español,,OK
ovali,Adjetivo,"oval, ovalado",Español,,OK
pacchiuni,Adjetivo,gordinflón,Español,,OK
pacenti,Adjetivo,paciente,Español,,OK
pacinziusu,Adjetivo,paciente,Español,,OK
paciorca,Adjetivo,che agisce all'impazzata,Italiano,,OK
palmarizzu,Adjetivo,largo de un palmo,Español,,OK
panzicu,Adjetivo,panzudo,Español,,OK
paragghiu,Adjetivo,"igual, idéntico",Español,,OK
paraggiu,Adjetivo,"igual, idéntico",Español,,OK
parmarizzu,Adjetivo,largo de un palmo,Español,,OK
parziali,Adjetivo,parcial,Español,,OK
passatu,Adjetivo,pasado / pasado,Español,,OK
patonchiu,Adjetivo,molto grasso (Prizzi),Italiano,,OK
paureddu,Adjetivo,pobrecito,Español,,OK
pautuneri,Adjetivo,pitocco,Italiano,,OK
pavureddu,Adjetivo,pobrecito,Español,,OK
pazzu,Adjetivo,loco,Español,,OK
perfunnu,Adjetivo,profundo,Español,,OK
permanenti,Adjetivo,permanente,Español,,OK
piacirìbbili,Adjetivo,"placible, agradable, placentero",Español,,OK
piacirìbbuli,Adjetivo,"placible, agradable, placentero",Español,,OK
piacirìvuli,Adjetivo,"placible, agradable, placentero",Español,,OK
picchegnu,Adjetivo,"pequeño, corto",Español,,OK
picchignu,Adjetivo,"pequeño, corto",Español,,OK
picchiusu,Adjetivo,llorón,Español,,OK
piccicanninu,Adjetivo,piccolino,Italiano,,OK
picciddu,Adjetivo,pequeño,Español,,OK
piccilidda,Adjetivo,"pequeña / muchacha, chica, chiquita",Español,,OK
picciliddi,Adjetivo,"pequeños / muchachos, chicos, chiquitos / pequeñas / muchachas, chicas, chiquitas",Español,,OK
picciliddu,Adjetivo,"pequeño / muchacho, chico, chiquito",Español,,OK
piccinicu,Adjetivo,pequeño,Español,,OK
picciridda,Adjetivo,"pequeña / muchacha, chica, chiquita",Español,,OK
picciriddi,Adjetivo,"pequeños / muchachos, chicos, chiquitos / pequeñas / muchachas, chicas, chiquitas",Español,,OK
picciriddu,Adjetivo,"pequeño / muchacho, chico, chiquito",Español,,OK
piccittu,Adjetivo,"pequeño, corto",Español,,OK
picciusu,Adjetivo,llorón,Español,,OK
pidunali,Adjetivo,peatonal,Español,,OK
pijuncu,Adjetivo,"flojo, paliducho, enfermizo",Español,,OK
pilaccunusu,Adjetivo,pieno di fiocchi,Italiano,,OK
pipirina,Adjetivo,"detto di capra, con occhi e muso neri, e vello a macchie bianche",Italiano,,OK
pirchiu,Adjetivo,"avaro, agarrado",Español,,OK
pirdicanu,Adjetivo,"svelto, in gamba",Italiano,,OK
piriculusu,Adjetivo,peligroso,Español,,OK
pirmanenti,Adjetivo,permanente,Español,,OK
pirmintìu,Adjetivo,"precoz, temprano",Español,,OK
pirsuasu,Adjetivo,"persuadido, convencido",Español,,OK
pirsunali,Adjetivo,personal,Español,,OK
pirtimpali,Adjetivo,che è sollecito nel levarsi da letto,Italiano,,OK
pisuliddu,Adjetivo,permaloso,Italiano,,OK
pitittusu,Adjetivo,apetitoso,Español,,OK
pitittèvuli,Adjetivo,apetitoso,Español,,OK
pitittìvuli,Adjetivo,apetitoso,Español,,OK
pitollu,Adjetivo,"stupido, scemunito",Italiano,,OK
pitturusu,Adjetivo,que tiene un tórax robusto,Español,,OK
pitturutu,Adjetivo,que tiene un tórax robusto,Español,,OK
piuncu,Adjetivo,"flojo, paliducho, enfermizo",Español,,OK
pizzolu,Adjetivo,chi becca facilmente,Italiano,,OK
planu,Adjetivo,"simple, sencillo",Español,,OK
plàcidu,Adjetivo,"plácido, apacible",Español,,OK
polinu,Adjetivo,rosso oscuro,Italiano,,OK
ponchiu,Adjetivo,"gordo, obeso",Español,,OK
positivu,Adjetivo,positivo,Español,,OK
povru,Adjetivo,pobre,Español,,OK
pravu,Adjetivo,cattivo,Italiano,,OK
prazziali,Adjetivo,preciado,Español,,OK
precisu,Adjetivo,preciso,Español,,OK
prena,Adjetivo,"embarazada, preñada, encinta",Español,,OK
prianneddu,Adjetivo,"1. festivo, 2. que se alegra fácilmente por algo",Español,,OK
priannolu,Adjetivo,festevole,Italiano,,OK
pricchiu,Adjetivo,"avaro, agarrado",Español,,OK
pricisu,Adjetivo,preciso,Español,,OK
priculusu,Adjetivo,peligroso,Español,,OK
priganneddu,Adjetivo,"1. festivo, 2. que se alegra fácilmente por algo",Español,,OK
prijannolu,Adjetivo,festevole,Italiano,,OK
prijuncu,Adjetivo,"flojo, paliducho, enfermizo",Español,,OK
prima,Adjetivo,antes,Español,,OK
primintìu,Adjetivo,"precoz, temprano",Español,,OK
primmintìu,Adjetivo,"precoz, temprano",Español,,OK
principali,Adjetivo,principal,Español,,OK
privatu,Adjetivo,privado,Español,,OK
prizziali,Adjetivo,preciado,Español,,OK
profunnu,Adjetivo,profundo,Español,,OK
promodali,Adjetivo,provvisorio,Italiano,,OK
prontu,Adjetivo,"listo, disuesto",Español,,OK
prufunnu,Adjetivo,profundo,Español,,OK
prumintìu,Adjetivo,"precoz, temprano",Español,,OK
prummintìu,Adjetivo,"precoz, temprano",Español,,OK
prunomi,Adjetivo,pronombre,Español,,OK
