Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
asciurtatu,Adjetivo,"afortunado, que tiene suerte",Español,,OK
asciuttu,Adjetivo,seco,Español,,OK
assinicatu,Adjetivo,"que tiene sed, sediento",Español,,OK
assitatu,Adjetivo,"que tiene sed, sediento",Español,,OK
assiticatu,Adjetivo,"que tiene sed, sediento",Español,,OK
assumiratu,Adjetivo,persona ignorante y estúpida,Español,,OK
assurtatu,Adjetivo,"afortunado, que tiene suerte",Español,,OK
atru,Adjetivo,otro,Español,,OK
attentu,Adjetivo,atento,Español,,OK
attientu,Adjetivo,atento,Español,,OK
attivu,Adjetivo,activo,Español,,OK
attrivitu,Adjetivo,"audaz, atrevido, agalludo, arriesgado",Español,,OK
atu,Adjetivo,alto,Español,,OK
atòmicu,Adjetivo,atómico,Español,,OK
auteru,Adjetivo,"altanero, altivo",Español,,OK
automàticu,Adjetivo,automático,Español,,OK
autumàticu,Adjetivo,automático,Español,,OK
avali,Adjetivo,igual,Español,,OK
avanti,Adjetivo,/  /  /,Italiano,,OK
avaru,Adjetivo,avaro,Español,,OK
aviusu,Adjetivo,"alegre, feliz",Español,,OK
avversu,Adjetivo,"en orden, de forma ordenada / adverso, desfavorable",Español,,OK
avvezzu,Adjetivo,"adverso, desfavorable",Español,,OK
azzolu,Adjetivo,azul,Español,,OK
azzurru,Adjetivo,azul,Español,,OK
babbalacchiu,Adjetivo,"estúpido, tonto / persona estúpida, persona tonta",Español,,OK
baccariatu,Adjetivo,"sin dinero, sin un céntimo, pobre",Español,,OK
banniatu,Adjetivo,"1. anunciado, proclamado, gridado, 2. famoso",Español,,OK
barbalacchiu,Adjetivo,"estúpido, tonto / persona estúpida, persona tonta",Español,,OK
baroccu,Adjetivo,baroco,Español,,OK
baschiatu,Adjetivo,agitado,Español,,OK
basci,Adjetivo,bajos,Español,,OK
basciu,Adjetivo,bajo,Español,,OK
bavusu,Adjetivo,baboso,Español,,OK
bedda,Adjetivo,"bella, bonita, guapa / chica bonita, chica guapa",Español,,OK
beddi,Adjetivo,"bellos, bonitos, guapos / bellas, bonitas, guapas",Español,,OK
beddu,Adjetivo,"bello, bonito, guapo",Español,,OK
bemminutu,Adjetivo,bienvenido,Español,,OK
benvinutu,Adjetivo,bienvenido,Español,,OK
biancu,Adjetivo,blanco,Español,,OK
biddicchi,Adjetivo,"guapitos, bellitos / guapitas, bellitas",Español,,OK
biddicchia,Adjetivo,"guapita, bellita",Español,,OK
biddicchiu,Adjetivo,"guapito, bellito",Español,,OK
bieddu,Adjetivo,"bello, bonito, guapo",Español,,OK
bimminutu,Adjetivo,bienvenido,Español,,OK
